"","kind",".pred_AI",".pred_class","detector","native","name","model","document_id","prompt"
"1","Human",0.999994234540676,"AI","Sapling","No","Real TOEFL","Human",497,NA
"2","Human",0.828144788742065,"AI","Crossplag","No","Real TOEFL","Human",278,NA
"3","Human",0.000213746490771882,"Human","Crossplag","Yes","Real College Essays","Human",294,NA
"4","AI",0,"Human","ZeroGPT",NA,"Fake CS224N - GPT3","GPT3",671,"Plain"
"5","AI",0.0017840907676145,"Human","OriginalityAI",NA,"Fake CS224N - GPT3, PE","GPT4",717,"Elevate using technical"
"6","Human",0.000178271468030289,"Human","HFOpenAI","Yes","Real CS224N","Human",855,NA
"7","AI",0.991587579250336,"AI","HFOpenAI",NA,"Fake CS224N - GPT3","GPT3",533,"Plain"
"8","AI",0.0226020663976669,"Human","Crossplag",NA,"Fake CS224N - GPT3, PE","GPT4",484,"Elevate using technical"
"9","Human",0,"Human","ZeroGPT","Yes","Real CS224N","Human",781,NA
"10","Human",0.999999307599262,"AI","Sapling","No","Real TOEFL","Human",460,NA
"11","AI",0.999181687831879,"AI","Quil",NA,"Fake CS224N - GPT3","GPT3",591,"Plain"
"12","AI",0.00020655163098127,"Human","OriginalityAI",NA,"Fake CS224N - GPT3","GPT3",11,"Plain"
"13","Human",4e-04,"Human","OriginalityAI","Yes","US 8th grade essay","Human",194,NA
"14","AI",0,"Human","ZeroGPT",NA,"Fake TOEFL - GPT4 - PE","GPT4",261,"Enhance like native"
"15","AI",1,"AI","ZeroGPT",NA,"Fake College Essays - GPT3","GPT3",531,"Plain"
"16","AI",0.00216401270193645,"Human","Sapling",NA,"US 8th grade essay - GPT simplify","GPT4",170,"Simplify like non-native"
"17","Human",0.99224054813385,"AI","OriginalityAI","No","Real TOEFL","Human",306,NA
"18","AI",0.862290597245618,"AI","GPTZero",NA,"US 8th grade essay - GPT simplify","GPT4",169,"Simplify like non-native"
"19","Human",0.711835205554962,"AI","HFOpenAI","No","Real TOEFL","Human",302,NA
"20","AI",7.74128138258945e-07,"Human","Sapling",NA,"Fake College Essays - GPT3 Prompt Engineered","GPT3",5,"Elevate using literary"
"21","AI",0.000223575756535865,"Human","Crossplag",NA,"Fake CS224N - GPT3, PE","GPT4",554,"Elevate using technical"
"22","AI",0.167667970061302,"Human","Crossplag",NA,"Fake CS224N - GPT3","GPT3",672,"Plain"
"23","Human",0.000174046770553105,"Human","Crossplag","Yes","Real College Essays","Human",47,NA
"24","AI",0,"Human","ZeroGPT",NA,"Fake TOEFL - GPT4 - PE","GPT4",380,"Enhance like native"
"25","Human",1.44768899510501e-11,"Human","GPTZero","Yes","Real CS224N","Human",808,NA
"26","AI",0.00367440236732364,"Human","Crossplag",NA,"Fake TOEFL - GPT4 - PE","GPT4",270,"Enhance like native"
"27","AI",0.25,"Human","ZeroGPT",NA,"US 8th grade essay - GPT simplify","GPT4",162,"Simplify like non-native"
"28","Human",0.0065267994068563,"Human","Crossplag","Yes","US 8th grade essay","Human",164,NA
"29","Human",0.996456563472748,"AI","Quil","No","Real TOEFL","Human",400,NA
"30","AI",0.000174462795257568,"Human","Quil",NA,"Fake CS224N - GPT3","GPT3",12,"Plain"
"31","Human",0.0610031485557556,"Human","Quil","No","Real TOEFL","Human",274,NA
"32","Human",0.229115094857707,"Human","Sapling","Yes","Real College Essays","Human",419,NA
"33","AI",1.47474244722172e-05,"Human","GPTZero",NA,"Fake CS224N - GPT3","GPT3",563,"Plain"
"34","AI",0.9953493475914,"AI","OriginalityAI",NA,"Fake CS224N - GPT3","GPT3",10,"Plain"
"35","Human",0.000170457162312232,"Human","HFOpenAI","Yes","Real CS224N","Human",777,NA
"36","AI",0.000265817885519937,"Human","HFOpenAI",NA,"Fake TOEFL - GPT4 - PE","GPT4",78,"Enhance like native"
"37","Human",0,"Human","ZeroGPT","Yes","Real CS224N","Human",797,NA
"38","AI",0.972365975379944,"AI","Quil",NA,"Fake CS224N - GPT3, PE","GPT4",509,"Elevate using technical"
"39","Human",1.97123857884618e-05,"Human","Sapling","Yes","US 8th grade essay","Human",456,NA
"40","AI",0.045670807361603,"Human","OriginalityAI",NA,"Fake CS224N - GPT3","GPT3",703,"Plain"
"41","AI",0.998974469886889,"AI","Sapling",NA,"Fake CS224N - GPT3, PE","GPT4",697,"Elevate using technical"
"42","Human",0.0045,"Human","OriginalityAI","Yes","US 8th grade essay","Human",104,NA
"43","Human",6.60735848923011e-07,"Human","Sapling","Yes","Real College Essays","Human",917,NA
"44","AI",0.164626911282539,"Human","HFOpenAI",NA,"US 8th grade essay - GPT simplify","GPT4",197,"Simplify like non-native"
"45","AI",0.000169931197888218,"Human","Crossplag",NA,"Fake CS224N - GPT3, PE","GPT4",654,"Elevate using technical"
"46","Human",1.04029601977196e-06,"Human","Sapling","Yes","US 8th grade essay","Human",252,NA
"47","AI",0.000182092189788818,"Human","Quil",NA,"Fake CS224N - GPT3","GPT3",671,"Plain"
"48","AI",1.47474244722172e-05,"Human","GPTZero",NA,"Fake CS224N - GPT3","GPT3",20,"Plain"
"49","AI",0.000272146804491058,"Human","Crossplag",NA,"Fake CS224N - GPT3, PE","GPT4",622,"Elevate using technical"
"50","Human",0.000482961360830814,"Human","HFOpenAI","Yes","US 8th grade essay","Human",331,NA
"51","AI",0,"Human","ZeroGPT",NA,"Fake TOEFL - GPT4 - PE","GPT4",305,"Enhance like native"
"52","AI",0.999959879886853,"AI","Sapling",NA,"US 8th grade essay - GPT simplify","GPT4",92,"Simplify like non-native"
"53","AI",0.5,"Human","ZeroGPT",NA,"US 8th grade essay - GPT simplify","GPT4",449,"Simplify like non-native"
"54","AI",0.999818742275238,"AI","HFOpenAI",NA,"Fake CS224N - GPT3","GPT3",10,"Plain"
"55","AI",0.001019483897835,"Human","OriginalityAI",NA,"Fake TOEFL - GPT4 - PE","GPT4",285,"Enhance like native"
"56","AI",0.996289610862732,"AI","Quil",NA,"Fake TOEFL - GPT4 - PE","GPT4",346,"Enhance like native"
"57","Human",0.999999560404831,"AI","Sapling","No","Real TOEFL","Human",329,NA
"58","Human",0.0398504845798016,"Human","HFOpenAI","Yes","US 8th grade essay","Human",132,NA
"59","AI",0.000183557960554026,"Human","Crossplag",NA,"Fake College Essays - GPT3 Prompt Engineered","GPT3",896,"Elevate using literary"
"60","Human",0.169785603880882,"Human","Crossplag","No","Real TOEFL","Human",264,NA
"61","AI",0.00046371525968425,"Human","Crossplag",NA,"Fake TOEFL - GPT4 - PE","GPT4",339,"Enhance like native"
"62","AI",0.625,"AI","ZeroGPT",NA,"Fake TOEFL - GPT4 - PE","GPT4",330,"Enhance like native"
"63","Human",0.00020537392992992,"Human","HFOpenAI","Yes","Real College Essays","Human",473,NA
"64","Human",0.125,"Human","ZeroGPT","Yes","Real College Essays","Human",224,NA
"65","AI",0,"Human","ZeroGPT",NA,"Fake CS224N - GPT3, PE","GPT4",648,"Elevate using technical"
"66","Human",7.13283006770205e-07,"Human","Sapling","Yes","Real College Essays","Human",540,NA
"67","Human",0.998563706874847,"AI","HFOpenAI","No","Real TOEFL","Human",249,NA
"68","Human",0,"Human","ZeroGPT","Yes","Real College Essays","Human",926,NA
